Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason
0B2.F,Bawag,stock,Revolut,Euro,WAIT,WAIT,124.80,102.45,98.35,-21.2%,Above Target,⭐⭐,5,-0.48%,OFF,VALID,OFF,,Lower Quartile,2,80.0%,52.4,45.7,-0.610,0.212,Volatility still expanding on down closes (ATR rising),19,68.4%,75.0%,4.84%,397.18%,TRAILING_STOP
1T4.F,Torm,stock,Revolut,Euro,WAIT,WAIT,22.58,27.95,26.83,18.8%,Moderate,⭐⭐,7,-0.18%,OFF,NO,OFF,,Lower Quartile,1,66.7%,60.5,48.9,-0.001,-0.029,,33,66.7%,55.6%,7.18%,13778.82%,TRAILING_STOP
3P7.DE,Pandora,stock,Revolut,Euro,WAIT,WAIT,58.90,94.75,90.96,54.4%,Attractive,⭐,4,0.24%,OFF,VALID,OFF,,Limited history,0,,21.8,32.5,-0.346,0.065,,0,,,,,Insufficient history
8ZI.DU,Scandinavian Tobacco,stock,Revolut,Euro,WAIT,WAIT,8.70,13.40,12.86,47.9%,Attractive,⭐⭐⭐,11,-1.58%,OFF,NO,OFF,,Lower Quartile,1,100.0%,25.0,19.2,-0.242,-0.000,Lower-low still forming (price still breaking down),12,75.0%,75.0%,2.21%,52.43%,HARD_STOP_FROM_ENTRY
AC.PA,AC,stock,Revolut,Euro,WAIT,WAIT,39.73,50.04,48.04,20.9%,Attractive,⭐⭐⭐,15,0.58%,OFF,NO,OFF,,Lower Quartile,2,71.4%,34.9,32.0,-0.509,-0.070,,53,69.8%,88.9%,4.97%,3207.76%,TRAILING_STOP
ADBE,Adobe,stock,Revolut,USD,WAIT,WAIT,248.15,389.47,373.89,50.7%,Attractive,⭐⭐⭐,11,0.88%,OFF,NO,OFF,,Lower Quartile,2,72.7%,31.3,35.9,-0.540,-0.322,Lower-low still forming (price still breaking down),42,71.4%,53.8%,4.77%,1471.66%,TRAILING_STOP
AKE.PA,Arkema,stock,Revolut,Euro,WAIT,WAIT,50.50,65.36,62.75,24.2%,Attractive,⭐⭐⭐,13,-0.88%,OFF,NO,OFF,,Lower Quartile,2,72.7%,43.1,36.5,-0.396,-0.251,,44,68.2%,70.0%,2.02%,1703.63%,TRAILING_STOP
AKE.PA,AKE,stock,Revolut,Euro,WAIT,WAIT,50.50,65.34,62.73,24.2%,Attractive,⭐⭐⭐,13,-0.88%,OFF,NO,OFF,,Lower Quartile,2,72.7%,43.1,36.5,-0.396,-0.251,,44,68.2%,70.0%,2.02%,1703.63%,TRAILING_STOP
AMP.MI,Amplifon,stock,Revolut,Euro,WAIT,WAIT,8.37,13.81,13.26,58.4%,Attractive,⭐⭐⭐,12,4.21%,OFF,NO,OFF,,Lower Quartile,1,72.7%,17.8,20.9,-0.265,-0.018,Strong downtrend (ADX high & rising; -DI dominant),44,79.5%,70.0%,4.74%,3848.31%,HARD_STOP_FROM_ENTRY
AMS.MC,Amadeus,stock,Revolut,Euro,WAIT,WAIT,49.19,68.28,65.55,33.3%,Attractive,⭐⭐⭐,12,0.18%,OFF,NO,OFF,,Lower Quartile,1,72.7%,31.3,38.4,-0.202,-0.138,Lower-low still forming (price still breaking down),43,74.4%,77.8%,2.55%,930.89%,TREND_BREAK_MA40_TWO_NEG_SLOPE
BC8.DE,Bechtle AG,stock,Revolut,Euro,WAIT,WAIT,25.76,39.49,37.91,47.2%,Attractive,⭐⭐⭐,10,-14.25%,OFF,NO,OFF,,Lower Quartile,2,80.0%,27.8,15.1,-0.784,-0.350,Lower-low still forming (price still breaking down),39,64.1%,50.0%,4.04%,5658.97%,HARD_STOP_FROM_ENTRY
BRE.MI,Freni Brembo,stock,Revolut,Euro,WAIT,WAIT,7.47,10.93,10.49,40.4%,Attractive,⭐⭐⭐,13,-1.06%,OFF,NO,OFF,,Lower Quartile,2,83.3%,31.0,19.9,-0.191,-0.052,Lower-low still forming (price still breaking down),45,80.0%,75.0%,5.04%,5495.27%,TRAILING_STOP
CAH,Cardinal Health,stock,Revolut,USD,WAIT,WAIT,207.83,257.10,246.82,18.8%,Moderate,⭐⭐⭐,12,-1.47%,OFF,NO,OFF,,Lower Quartile,1,78.6%,48.7,36.6,-1.440,-0.620,Lower-low still forming (price still breaking down),53,79.2%,87.5%,4.60%,4423.55%,RSI_BAND_DROP
CAP.PA,CAP,stock,Revolut,Euro,WAIT,WAIT,98.58,173.33,166.40,68.8%,Attractive,⭐⭐⭐,9,-2.49%,OFF,NO,OFF,,Lower Quartile,0,63.6%,31.6,31.5,-1.099,-0.322,Lower-low still forming (price still breaking down),44,70.5%,45.5%,3.29%,1723.88%,TRAILING_STOP
CBH.F,Coloplast,stock,Revolut,Euro,WAIT,WAIT,5.60,82.67,79.36,1317.2%,Attractive,⭐⭐⭐,11,-2.61%,OFF,NO,OFF,,Lower Quartile,1,75.0%,24.1,32.8,-0.043,-0.011,Lower-low still forming (price still breaking down),13,69.2%,75.0%,2.86%,68.10%,TREND_BREAK_MA40_TWO_NEG_SLOPE
DHL.DE,Deutsche Post,stock,Revolut,Euro,WAIT,WAIT,43.99,55.05,52.85,20.1%,Attractive,⭐⭐⭐,12,0.14%,OFF,NO,OFF,,Lower Quartile,2,100.0%,46.5,35.0,-0.384,-0.066,,31,80.6%,77.8%,7.99%,1265.18%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND
DIA.MI,Diasorin,stock,Revolut,Euro,WAIT,WAIT,63.76,78.62,75.48,18.4%,Moderate,⭐⭐,7,0.22%,OFF,NO,OFF,,Lower Quartile,0,69.2%,35.7,32.2,-0.284,-0.021,Lower-low still forming (price still breaking down),49,57.1%,53.8%,3.60%,1241.93%,TREND_BREAK_MA40_TWO_NEG_SLOPE
DLG.MI,De Longhi,stock,Revolut,Euro,WAIT,WAIT,29.44,41.52,39.86,35.4%,Attractive,⭐⭐⭐,12,-2.00%,OFF,NO,OFF,,Lower Quartile,1,63.6%,34.0,20.5,-0.694,-0.211,Lower-low still forming (price still breaking down),44,65.9%,70.0%,4.33%,4734.29%,TRAILING_STOP
DSY.PA,DSY,stock,Revolut,Euro,WAIT,WAIT,17.20,26.84,25.77,49.8%,Attractive,⭐⭐⭐,13,-2.82%,OFF,NO,OFF,,Lower Quartile,1,72.7%,24.8,32.8,-0.097,-0.036,Lower-low still forming (price still breaking down),41,80.5%,80.0%,5.53%,1626.83%,TRAILING_STOP
DTE.DE,Deutsche Telekom AG,stock,Revolut,Euro,WAIT,WAIT,31.62,39.32,37.75,19.4%,Moderate,⭐⭐⭐,13,-1.65%,OFF,NO,OFF,,Lower Quartile,2,86.7%,56.2,44.9,-0.016,-0.128,Lower-low still forming (price still breaking down),59,69.5%,81.8%,2.48%,1999.19%,TRAILING_STOP
DWS.DE,DWS Group GmbH & Co. KGaA,stock,Revolut,Euro,WAIT,WAIT,53.45,71.47,68.61,28.4%,Attractive,⭐⭐⭐,13,-1.38%,OFF,NO,OFF,,Lower Quartile,2,100.0%,45.4,36.2,-0.426,-0.076,Lower-low still forming (price still breaking down),19,84.2%,100.0%,12.22%,681.12%,TRAILING_STOP
EMG.L,Man Group,stock,Moneybase,GBP,WAIT,WAIT,2.42,3.18,3.05,26.4%,Attractive,⭐⭐⭐,12,-2.74%,OFF,NO,OFF,,Lower Quartile,2,72.7%,46.2,36.4,-2.356,-0.896,Lower-low still forming (price still breaking down),44,68.2%,66.7%,2.26%,2430.11%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND
EN.PA,EN,stock,Revolut,Euro,WAIT,WAIT,48.78,60.13,57.72,18.3%,Moderate,⭐⭐⭐,9,-0.95%,OFF,NO,OFF,,Lower Quartile,0,64.3%,62.2,44.6,-0.138,-0.118,Lower-low still forming (price still breaking down),55,70.9%,63.6%,1.67%,1297.21%,TRAILING_STOP
FDR.MC,Fluidra,stock,Revolut,Euro,WAIT,WAIT,18.78,25.56,24.54,30.7%,Attractive,⭐⭐⭐,11,-0.63%,OFF,NO,OFF,,Lower Quartile,1,63.6%,29.9,16.7,-0.332,-0.051,Lower-low still forming (price still breaking down),41,63.4%,64.3%,4.14%,3716.12%,HARD_STOP_FROM_ENTRY
FME.DE,Fresenius Medical Care,stock,Revolut,Euro,WAIT,WAIT,37.74,56.81,54.54,44.5%,Attractive,⭐⭐⭐,11,-1.38%,OFF,NO,OFF,,Lower Quartile,0,58.3%,37.7,37.0,-0.101,-0.134,Lower-low still forming (price still breaking down),45,71.1%,70.0%,2.42%,639.63%,TRAILING_STOP
GEST.MC,Gestamp Automocion,stock,Revolut,Euro,WAIT,WAIT,2.94,3.75,3.60,22.5%,Attractive,⭐⭐⭐,10,-0.27%,OFF,NO,OFF,,Lower Quartile,2,71.4%,42.1,37.8,-0.013,-0.004,Lower-low still forming (price still breaking down),28,53.6%,45.5%,0.88%,287.80%,TREND_BREAK_MA40_TWO_NEG_SLOPE
GNN.F,GN Store Nord,stock,Revolut,Euro,WAIT,WAIT,12.62,16.28,15.63,23.8%,Attractive,⭐⭐⭐,11,-0.86%,OFF,NO,OFF,,Lower Quartile,1,75.0%,44.1,48.6,0.003,-0.011,Lower-low still forming (price still breaking down),47,72.3%,61.5%,5.11%,6419.06%,HARD_STOP_FROM_ENTRY
GRF.MC,Grifols,stock,Revolut,Euro,WAIT,WAIT,8.76,12.48,11.98,36.8%,Attractive,⭐⭐⭐,10,-1.55%,OFF,NO,OFF,,Lower Quartile,-1,46.2%,27.9,22.9,-0.127,-0.026,Lower-low still forming (price still breaking down),51,66.7%,66.7%,3.82%,4837.95%,HARD_STOP_FROM_ENTRY
HYQ.DE,Hypoport SE,stock,Revolut,Euro,WAIT,WAIT,76.90,117.04,112.36,46.1%,Attractive,⭐⭐⭐,10,-2.53%,OFF,NO,OFF,,Lower Quartile,1,58.3%,28.0,35.9,-0.427,-0.311,Lower-low still forming (price still breaking down),48,62.5%,50.0%,6.45%,89908.24%,HARD_STOP_FROM_ENTRY
IP.MI,Interpump,stock,Revolut,Euro,WAIT,WAIT,30.98,41.97,40.29,30.1%,Attractive,⭐⭐⭐,13,-1.96%,OFF,NO,OFF,,Lower Quartile,2,90.0%,28.7,23.6,-0.762,-0.046,Lower-low still forming (price still breaking down),38,78.9%,88.9%,6.90%,5973.35%,TRAILING_STOP
IQQY.DE,iShares Core MSCI Europe UCITS ETF EUR,etf,Revolut,Euro,WAIT,WAIT,35.56,,,,No Target,⭐⭐⭐,9,-1.78%,OFF,NO,OFF,,Lower Quartile,1,85.7%,42.7,29.2,-0.233,-0.113,Lower-low still forming (price still breaking down),56,76.8%,70.0%,2.24%,588.06%,TRAILING_STOP
KNOS.L,Kainos Group,stock,Moneybase,GBP,WAIT,WAIT,7.26,10.75,10.32,42.1%,Attractive,⭐⭐⭐,10,-3.58%,OFF,NO,OFF,,Lower Quartile,2,75.0%,37.0,40.1,-7.115,-1.862,Lower-low still forming (price still breaking down),31,61.3%,53.8%,5.24%,1191.50%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND
MAP.MC,Mapfre,stock,Revolut,Euro,WAIT,WAIT,3.66,4.73,4.54,24.1%,Attractive,⭐⭐⭐,14,-0.54%,OFF,NO,OFF,,Lower Quartile,1,73.3%,42.1,38.6,-0.020,-0.000,Lower-low still forming (price still breaking down),57,71.9%,85.7%,2.52%,1345.41%,RSI_BAND_DROP
MC.PA,MC,stock,Revolut,Euro,WAIT,WAIT,457.95,632.78,607.47,32.6%,Attractive,⭐⭐⭐,11,-0.50%,OFF,NO,OFF,,Lower Quartile,2,83.3%,31.8,24.1,-6.149,-0.757,Lower-low still forming (price still breaking down),48,70.8%,55.6%,4.85%,3672.13%,RSI_BAND_DROP
MONY.L,Moneysupermarket,stock,Moneybase,GBP,WAIT,WAIT,1.58,2.96,2.84,79.8%,Attractive,⭐⭐⭐,9,-1.74%,OFF,NO,OFF,,Lower Quartile,0,63.6%,38.7,40.3,-0.363,-0.509,Lower-low still forming (price still breaking down),41,56.1%,50.0%,2.61%,663.83%,TREND_BREAK_MA40_TWO_NEG_SLOPE
MRK.DE,Merck,stock,Revolut,Euro,WAIT,WAIT,104.05,135.51,130.09,25.0%,Attractive,⭐⭐⭐,9,-3.07%,OFF,NO,OFF,,Lower Quartile,0,54.5%,35.6,28.4,-1.311,-0.279,Lower-low still forming (price still breaking down),44,65.9%,53.8%,6.45%,2429.85%,HARD_STOP_FROM_ENTRY
MSFT,MICROSOFT,stock,Revolut,USD,WAIT,WAIT,381.87,475.11,456.11,19.4%,Moderate,⭐⭐⭐,12,-1.84%,OFF,NO,OFF,,Lower Quartile,2,83.3%,30.3,32.1,-0.713,-0.845,Lower-low still forming (price still breaking down),46,76.1%,80.0%,6.33%,3803.67%,TREND_BREAK_MA40_TWO_NEG_SLOPE
NEXI.MI,Nexi,stock,Revolut,Euro,WAIT,WAIT,2.84,3.94,3.78,33.0%,Attractive,⭐⭐⭐,9,-1.08%,OFF,VALID,OFF,,Lower Quartile,0,60.0%,30.2,37.8,-0.016,0.003,Strong downtrend (ADX high & rising; -DI dominant),20,70.0%,69.2%,3.65%,116.23%,HARD_STOP_FROM_ENTRY
NKT.SG,NKT Holding,stock,Revolut,Euro,WAIT,WAIT,102.70,128.27,123.14,19.9%,Moderate,⭐⭐⭐,10,-2.19%,OFF,NO,OFF,,Lower Quartile,2,100.0%,53.5,39.2,-0.750,-0.292,Lower-low still forming (price still breaking down),12,75.0%,75.0%,7.78%,294.37%,RSI_BAND_DROP
NOV.DE,Novo Nordisk B,stock,Revolut,Euro,WAIT,WAIT,31.70,55.19,52.98,67.1%,Attractive,⭐⭐⭐,11,-0.22%,OFF,NO,OFF,,Lower Quartile,1,61.5%,33.9,31.8,-0.362,0.048,Lower-low still forming (price still breaking down),50,70.0%,40.0%,2.97%,2169.13%,TRAILING_STOP
P911.DE,Dr Ing hc F Porsche Prf,stock,Revolut,Euro,WAIT,WAIT,36.31,49.86,47.87,31.8%,Attractive,⭐⭐⭐,8,-0.41%,OFF,NO,OFF,,Lower Quartile,0,50.0%,34.0,33.5,-0.276,-0.018,Lower-low still forming (price still breaking down),7,28.6%,28.6%,-1.05%,0.85%,HARD_STOP_FROM_ENTRY
PIRC.MI,Pirelli & C,stock,Revolut,Euro,WAIT,WAIT,5.55,7.89,7.57,36.4%,Attractive,⭐⭐⭐,11,0.11%,OFF,NO,OFF,,Lower Quartile,2,100.0%,36.4,32.4,-0.049,-0.008,Lower-low still forming (price still breaking down),20,70.0%,63.6%,4.94%,191.19%,TRAILING_STOP
QCOM,Qualcomm,stock,Revolut,USD,WAIT,WAIT,129.90,174.55,167.57,29.0%,Attractive,⭐⭐⭐,12,-1.05%,OFF,NO,OFF,,Lower Quartile,1,83.3%,32.2,33.2,-0.291,0.052,,46,84.8%,78.6%,4.27%,6659.13%,TREND_BREAK_MA40_TWO_NEG_SLOPE
RAT.L,Rathbones,stock,Moneybase,GBP,WAIT,WAIT,20.25,26.89,25.81,27.5%,Attractive,⭐⭐⭐,11,0.25%,OFF,NO,OFF,,Lower Quartile,1,75.0%,45.1,38.6,-12.218,-2.365,Lower-low still forming (price still breaking down),45,75.6%,62.5%,2.78%,886.71%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND
SAN.PA,SAN,stock,Revolut,Euro,WAIT,WAIT,77.79,113.44,108.90,40.0%,Attractive,⭐⭐⭐,14,-0.46%,OFF,VALID,OFF,,Lower Quartile,1,100.0%,42.5,47.8,-0.005,0.104,,54,79.6%,90.9%,3.31%,1039.66%,TRAILING_STOP
SN.L,Smith & Nephew,stock,Moneybase,GBP,WAIT,WAIT,12.01,15.04,14.44,20.3%,Attractive,⭐⭐⭐,13,-0.41%,OFF,NO,OFF,,Lower Quartile,0,69.2%,40.6,34.4,-7.492,-3.250,Lower-low still forming (price still breaking down),52,73.1%,91.7%,3.49%,1253.69%,RSI_BAND_DROP
SSPG.L,SSP Group,stock,Moneybase,GBP,WAIT,WAIT,1.72,2.36,2.27,32.0%,Attractive,⭐⭐⭐,10,1.48%,OFF,NO,OFF,,Lower Quartile,2,70.0%,45.6,34.3,-1.813,-0.310,Lower-low still forming (price still breaking down),38,63.2%,46.7%,1.49%,477.57%,HARD_STOP_FROM_ENTRY
T2V1.F,Tryg,stock,Revolut,Euro,WAIT,WAIT,20.66,28.15,27.02,30.8%,Attractive,⭐⭐⭐,13,0.49%,OFF,NO,OFF,,Lower Quartile,1,83.3%,45.9,51.0,0.013,0.011,,45,84.4%,83.3%,3.57%,774.64%,TRAILING_STOP
TEP.PA,TEP,stock,Revolut,Euro,WAIT,WAIT,51.10,83.81,80.46,57.5%,Attractive,⭐⭐⭐,10,-0.47%,OFF,NO,OFF,,Lower Quartile,2,70.0%,35.4,45.0,0.011,-0.014,Lower-low still forming (price still breaking down),39,66.7%,42.9%,8.08%,2833.92%,HARD_STOP_FROM_ENTRY
TRE.MC,Tecnicas Reunidas,stock,Revolut,Euro,WAIT,WAIT,28.38,34.93,33.53,18.2%,Moderate,⭐⭐⭐,10,-0.98%,OFF,NO,OFF,,Lower Quartile,2,71.4%,48.6,40.4,-0.377,-0.007,,55,61.8%,50.0%,1.63%,2277.65%,TRAILING_STOP
UPS,United Parcel Service,stock,Revolut,USD,WAIT,WAIT,95.86,118.21,113.48,18.4%,Moderate,⭐⭐⭐,12,-0.72%,OFF,NO,OFF,,Lower Quartile,2,100.0%,36.8,25.1,-0.983,-0.080,Strong downtrend (ADX high & rising; -DI dominant),45,88.9%,100.0%,4.41%,2119.39%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND
VUAA.MI,Vanguard S&P 500 UCITS ETF USD Accumulation,etf,Revolut,Euro,WAIT,WAIT,109.15,,,,No Target,⭐⭐,7,-0.75%,OFF,NO,OFF,,Lower Quartile,1,100.0%,45.8,33.5,-0.355,-0.197,Lower-low still forming (price still breaking down),12,75.0%,71.4%,3.14%,107.29%,TRAILING_STOP
WDH.F,Demant,stock,Revolut,Euro,WAIT,WAIT,12.00,34.35,32.98,174.8%,Attractive,⭐⭐⭐,11,0.84%,OFF,NO,OFF,,Lower Quartile,0,100.0%,36.1,43.6,-0.034,-0.013,,8,87.5%,87.5%,1.56%,61.40%,HARD_STOP_FROM_ENTRY
XAD5.MI,Xtrackers Physical Gold ETC (EUR,etf,Moneybase,Euro,WAIT,WAIT,380.26,,,,No Target,⭐⭐⭐,9,-0.55%,OFF,NO,OFF,,Lower Quartile,1,91.7%,54.9,32.8,-3.619,-2.672,Volatility still expanding on down closes (ATR rising),46,78.3%,90.0%,3.21%,530.72%,TRAILING_STOP
XMEU.DE,Xtrackers MSCI Europe UCITS ETF 1C,etf,Revolut,Euro,WAIT,WAIT,104.02,,,,No Target,⭐⭐⭐,9,-1.78%,OFF,NO,OFF,,Lower Quartile,1,76.9%,44.7,29.1,-0.683,-0.344,Lower-low still forming (price still breaking down),51,78.4%,72.7%,2.63%,699.26%,TRAILING_STOP
